Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0402_1005Metric",70.480000,-70.250000,0.000000,top
"C2","22u","C_0805_2012Metric",75.500000,-75.800000,90.000000,top
"C3","10u","C_0603_1608Metric",59.750000,-59.250000,0.000000,top
"C4","100n","C_0402_1005Metric",56.250000,-63.500000,90.000000,top
"C5","100n","C_0402_1005Metric",65.500000,-73.000000,180.000000,top
"C6","100n","C_0402_1005Metric",68.500000,-64.250000,-90.000000,top
"C7","100n","C_0402_1005Metric",59.750000,-60.750000,0.000000,top
"C8","10n","C_0402_1005Metric",56.250000,-68.000000,90.000000,top
"C9","1u","C_0402_1005Metric",55.750000,-71.412500,180.000000,top
"C10","1u","C_0402_1005Metric",55.750000,-72.912500,180.000000,top
"C11","100n","C_0402_1005Metric",60.230000,-72.912500,0.000000,top
"C12","10p","C_0402_1005Metric",53.750000,-65.500000,90.000000,top
"C13","10p","C_0402_1005Metric",53.750000,-67.500000,90.000000,top
"D1","RED","LED_0603_1608Metric",78.250000,-76.000000,-90.000000,top
"FB1","120R","L_0603_1608Metric",57.750000,-72.200000,-90.000000,top
"H1","MountingHole","MountingHole_2.2mm_M2",45.000000,-55.000000,0.000000,top
"H2","MountingHole","MountingHole_2.2mm_M2",80.000000,-55.000000,0.000000,top
"H3","MountingHole","MountingHole_2.2mm_M2",80.000000,-80.000000,0.000000,top
"H4","MountingHole","MountingHole_2.2mm_M2",45.000000,-80.000000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",78.995000,-65.505000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",59.250000,-54.250000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",71.310000,-54.250000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",56.440000,-80.500000,90.000000,top
"R1","1k5","R_0402_1005Metric",78.500000,-72.800000,180.000000,top
"R2","10k","R_0402_1005Metric",48.250000,-63.162500,90.000000,top
"R3","1k5","R_0402_1005Metric",72.250000,-65.000000,-90.000000,top
"R4","1k5","R_0402_1005Metric",60.250000,-77.250000,180.000000,top
"R5","1k5","R_0402_1005Metric",62.750000,-77.250000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",44.500000,-63.500000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",70.500000,-75.500000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",62.250000,-66.662500,0.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",50.250000,-66.750000,-90.000000,top
